Feature,count,mean,std,min,25%,50%,75%,max,card
AgeuponIntake,1000.0,2.0604839655777996,3.001713404084658,0.0,0.08333333333333333,1.0,2.0,24.0,38
AgeuponOutcome,1000.0,2.099283491394453,3.008980567413656,0.0027397260273972603,0.16666666666666666,1.0,2.0,24.0,38
