AnimalID,DateTime_Intake,IntakeType,IntakeCondition,AnimalType_Intake,SexuponIntake,AgeuponIntake,Breed_Intake,Color_Intake,DateTime_Outcome,DateofBirth,SexuponOutcome,AgeuponOutcome,Result,year,month
A766755,2018-02-15 21:30:00,Stray,Injured,Cat,Neutered Male,2.0,Domestic Shorthair Mix,dark,2018-02-16 16:29:00,2016-02-15 00:00:00,Neutered Male,2.0,1.0,2018,2
A773546,2018-06-02 17:48:00,Stray,Normal,Dog,Intact Male,0.9166666666666666,Cairn Terrier Mix,light,2018-06-06 18:40:00,2017-06-03 00:00:00,Neutered Male,1.0,0.0,2018,6
A730070,2016-06-28 08:31:00,Stray,Sick,Cat,Intact Male,0.08333333333333333,Domestic Shorthair Mix,dark,2016-07-02 18:36:00,2016-04-28 00:00:00,Intact Male,0.16666666666666666,0.0,2016,6
A774857,2018-06-21 11:32:00,Stray,Normal,Dog,Intact Female,0.07692307692307693,Australian Kelpie Mix,medium,2018-07-10 08:56:00,2018-05-21 00:00:00,Intact Female,0.08333333333333333,0.0,2018,6
A714357,2015-10-22 11:46:00,Owner Surrender,Normal,Dog,Intact Female,0.6666666666666666,Great Dane,dark,2015-10-25 17:56:00,2015-01-22 00:00:00,Spayed Female,0.75,0.0,2015,10
A780708,2018-09-19 12:28:00,Owner Surrender,Normal,Dog,Intact Male,0.16666666666666666,Australian Cattle Dog Mix,light,2018-09-21 15:08:00,2018-06-27 00:00:00,Intact Male,0.16666666666666666,0.0,2018,9
A807664,2019-10-28 11:11:00,Stray,Normal,Cat,Intact Male,0.07692307692307693,Domestic Medium Hair Mix,dark,2020-01-06 18:27:00,2019-09-28 00:00:00,Neutered Male,0.25,0.0,2019,10
A720424,2016-02-09 12:55:00,Owner Surrender,Normal,Dog,Neutered Male,5.0,Cocker Spaniel/Miniature Poodle,medium,2016-02-10 16:15:00,2011-02-10 00:00:00,Neutered Male,5.0,0.0,2016,2
A795273,2019-05-18 16:43:00,Stray,Normal,Cat,Intact Female,0.08333333333333333,Domestic Shorthair,medium,2019-06-02 17:18:00,2019-03-30 00:00:00,Spayed Female,0.16666666666666666,0.0,2019,5
A706595,2015-06-30 15:58:00,Stray,Sick,Cat,Intact Male,0.057692307692307696,Domestic Shorthair Mix,light,2015-06-30 18:33:00,2015-06-08 00:00:00,Intact Male,0.057692307692307696,1.0,2015,6
A743277,2017-02-07 11:32:00,Owner Surrender,Normal,Dog,Neutered Male,2.0,Boston Terrier Mix,dark,2017-02-09 14:54:00,2015-02-07 00:00:00,Neutered Male,2.0,0.0,2017,2
A696542,2015-02-07 00:47:00,Public Assist,Normal,Other,Unknown,1.0,Hamster,dark,2015-02-11 17:00:00,2014-02-07 00:00:00,Unknown,1.0,0.0,2015,2
A790382,2019-03-09 12:49:00,Stray,Normal,Dog,Neutered Male,2.0,American Bulldog Mix,light,2019-03-09 14:24:00,2017-03-09 00:00:00,Neutered Male,2.0,0.0,2019,3
A805357,2019-09-25 18:17:00,Stray,Normal,Dog,Intact Male,1.0,Border Collie,dark,2019-09-29 14:14:00,2018-09-25 00:00:00,Intact Male,1.0,0.0,2019,9
A810021,2019-12-05 14:49:00,Stray,Injured,Dog,Intact Female,2.0,Labrador Retriever Mix,dark,2019-12-06 12:56:00,2017-12-05 00:00:00,Intact Female,2.0,0.0,2019,12
A730999,2016-07-14 14:04:00,Stray,Normal,Cat,Intact Female,0.16666666666666666,Domestic Shorthair Mix,dark,2016-08-14 14:35:00,2016-04-14 00:00:00,Spayed Female,0.3333333333333333,0.0,2016,7
A730904,2016-07-12 16:30:00,Stray,Normal,Cat,Spayed Female,2.0,Domestic Shorthair Mix,dark,2016-10-07 13:51:00,2014-07-12 00:00:00,Spayed Female,2.0,0.0,2016,7
A807974,2019-11-02 13:33:00,Stray,Normal,Cat,Intact Male,0.08333333333333333,Domestic Medium Hair Mix,medium,2019-11-13 11:41:00,2019-09-14 00:00:00,Neutered Male,0.08333333333333333,0.0,2019,11
A792972,2019-04-17 17:52:00,Owner Surrender,Normal,Dog,Intact Female,0.16666666666666666,Labrador Retriever/Anatol Shepherd,light,2019-04-22 18:24:00,2019-02-03 00:00:00,Spayed Female,0.16666666666666666,0.0,2019,4
A711489,2015-09-07 14:26:00,Stray,Normal,Dog,Intact Male,0.08333333333333333,Plott Hound Mix,dark,2015-09-10 11:45:00,2015-07-23 00:00:00,Intact Male,0.08333333333333333,0.0,2015,9
A800386,2019-07-20 11:52:00,Owner Surrender,Sick,Dog,Intact Male,2.0,Chihuahua Longhair,medium,2019-07-20 14:21:00,2017-07-20 00:00:00,Intact Male,2.0,0.0,2019,7
A713267,2015-10-05 11:06:00,Stray,Normal,Dog,Intact Male,1.0,Labrador Retriever Mix,medium,2015-10-09 17:02:00,2014-10-05 00:00:00,Neutered Male,1.0,0.0,2015,10
A677650,2014-11-19 12:21:00,Stray,Normal,Cat,Neutered Male,0.5833333333333334,Domestic Shorthair Mix,light,2014-11-25 14:02:00,2014-04-05 00:00:00,Neutered Male,0.5833333333333334,0.0,2014,11
A730019,2016-06-27 12:24:00,Stray,Normal,Dog,Intact Female,0.5,German Shepherd Mix,dark,2016-07-02 00:00:00,2015-12-27 00:00:00,Spayed Female,0.5,0.0,2016,6
A705005,2015-06-11 18:25:00,Stray,Normal,Dog,Intact Female,0.5833333333333334,American Pit Bull Terrier Mix,medium,2015-07-02 10:24:00,2014-10-11 00:00:00,Spayed Female,0.6666666666666666,0.0,2015,6
A705749,2015-07-21 13:27:00,Owner Surrender,Normal,Dog,Spayed Female,2.0,English Bulldog Mix,light,2015-09-02 11:30:00,2013-06-20 00:00:00,Spayed Female,2.0,0.0,2015,7
A772761,2018-05-23 12:19:00,Stray,Normal,Cat,Intact Male,0.057692307692307696,Domestic Shorthair Mix,light,2018-05-24 16:31:00,2018-04-30 00:00:00,Intact Male,0.057692307692307696,0.0,2018,5
A699031,2015-09-09 14:54:00,Owner Surrender,Normal,Cat,Spayed Female,10.0,Himalayan Mix,light,2015-09-12 14:45:00,2005-03-21 00:00:00,Spayed Female,10.0,0.0,2015,9
A756551,2017-08-21 18:27:00,Stray,Normal,Cat,Unknown,0.019230769230769232,Domestic Shorthair Mix,dark,2017-08-21 18:52:00,2017-08-14 00:00:00,Unknown,0.019230769230769232,0.0,2017,8
A686223,2014-08-18 16:33:00,Stray,Normal,Cat,Neutered Male,2.0,Domestic Shorthair Mix,light,2014-08-19 09:00:00,2012-08-18 00:00:00,Neutered Male,2.0,0.0,2014,8
A728629,2016-06-06 14:54:00,Stray,Injured,Dog,Intact Male,2.0,Papillon Mix,medium,2016-06-22 20:05:00,2014-06-06 00:00:00,Neutered Male,2.0,0.0,2016,6
A777833,2018-08-04 11:20:00,Stray,Normal,Cat,Intact Female,0.25,Domestic Shorthair Mix,dark,2018-08-08 19:05:00,2018-05-04 00:00:00,Spayed Female,0.25,0.0,2018,8
A807445,2019-10-25 12:17:00,Stray,Injured,Dog,Intact Female,2.0,Pit Bull,light,2019-12-05 17:16:00,2017-10-25 00:00:00,Spayed Female,2.0,0.0,2019,10
A737052,2016-10-21 13:08:00,Owner Surrender,Normal,Dog,Intact Male,0.08333333333333333,Pit Bull Mix,dark,2016-10-24 00:00:00,2016-09-06 00:00:00,Intact Male,0.08333333333333333,0.0,2016,10
A652433,2014-04-01 12:57:00,Stray,Normal,Dog,Neutered Male,12.0,Cocker Spaniel,light,2014-04-02 12:31:00,2001-04-24 00:00:00,Neutered Male,12.0,0.0,2014,4
A687075,2014-08-30 17:55:00,Stray,Normal,Cat,Intact Male,0.16666666666666666,Domestic Shorthair Mix,medium,2014-09-03 19:37:00,2014-06-15 00:00:00,Neutered Male,0.16666666666666666,0.0,2014,8
A752554,2017-06-23 22:15:00,Wildlife,Normal,Other,Unknown,1.0,Bat,medium,2017-06-24 10:30:00,2016-06-23 00:00:00,Unknown,1.0,1.0,2017,6
A386276,2015-12-19 12:52:00,Owner Surrender,Normal,Cat,Neutered Male,10.0,Domestic Shorthair Mix,light,2015-12-28 16:24:00,2005-02-25 00:00:00,Neutered Male,10.0,0.0,2015,12
A801847,2019-08-10 11:55:00,Stray,Normal,Dog,Intact Male,1.0,Miniature Poodle Mix,dark,2019-08-14 16:13:00,2018-08-10 00:00:00,Neutered Male,1.0,0.0,2019,8
A805108,2019-09-22 16:18:00,Stray,Normal,Dog,Intact Male,2.0,Pit Bull,dark,2019-10-18 19:12:00,2017-09-22 00:00:00,Neutered Male,2.0,0.0,2019,9
A807241,2019-10-22 16:58:00,Stray,Normal,Dog,Intact Female,0.3333333333333333,Dachshund/Miniature Pinscher,dark,2019-10-26 16:20:00,2019-06-22 00:00:00,Spayed Female,0.3333333333333333,0.0,2019,10
A712326,2015-09-21 14:16:00,Stray,Normal,Cat,Intact Female,0.16666666666666666,Domestic Shorthair Mix,light,2015-09-25 17:24:00,2015-07-21 00:00:00,Spayed Female,0.16666666666666666,0.0,2015,9
A776291,2018-07-11 12:51:00,Stray,Normal,Cat,Intact Female,13.0,Domestic Shorthair Mix,dark,2019-04-03 16:10:00,2005-01-15 00:00:00,Spayed Female,14.0,0.0,2018,7
A762679,2017-11-24 10:40:00,Stray,Normal,Dog,Intact Male,0.4166666666666667,Pit Bull Mix,medium,2017-11-29 11:02:00,2017-06-24 00:00:00,Intact Male,0.4166666666666667,0.0,2017,11
A807803,2019-10-30 12:28:00,Stray,Normal,Cat,Intact Male,0.16666666666666666,Domestic Shorthair,medium,2019-12-16 13:29:00,2019-08-15 00:00:00,Neutered Male,0.3333333333333333,0.0,2019,10
A668653,2015-10-31 16:30:00,Stray,Normal,Dog,Neutered Male,2.0,Chihuahua Shorthair Mix,dark,2015-11-05 14:23:00,2013-06-06 00:00:00,Neutered Male,2.0,0.0,2015,10
A796186,2019-05-29 18:11:00,Stray,Nursing,Cat,Intact Male,0.019230769230769232,Domestic Shorthair,dark,2019-06-02 13:49:00,2019-05-21 00:00:00,Intact Male,0.019230769230769232,0.0,2019,5
A766561,2018-02-11 19:42:00,Stray,Normal,Dog,Intact Male,3.0,Pug Mix,dark,2018-02-17 16:27:00,2015-02-11 00:00:00,Neutered Male,3.0,0.0,2018,2
A768145,2018-03-13 14:59:00,Owner Surrender,Normal,Dog,Intact Female,0.00821917808219178,American Pit Bull Terrier Mix,dark,2018-05-29 12:08:00,2018-03-10 00:00:00,Spayed Female,0.16666666666666666,0.0,2018,3
A785707,2018-12-08 13:20:00,Stray,Normal,Dog,Intact Female,10.0,Miniature Schnauzer Mix,dark,2018-12-10 11:57:00,2008-12-10 00:00:00,Intact Female,10.0,0.0,2018,12
A801959,2019-08-12 13:16:00,Stray,Normal,Cat,Unknown,1.0,Domestic Medium Hair,dark,2019-08-16 16:32:00,2018-08-12 00:00:00,Unknown,1.0,0.0,2019,8
A775510,2018-07-01 12:55:00,Stray,Normal,Cat,Intact Female,0.057692307692307696,Domestic Shorthair Mix,dark,2018-07-01 16:19:00,2018-06-04 00:00:00,Intact Female,0.057692307692307696,0.0,2018,7
A742532,2017-01-23 13:48:00,Stray,Normal,Dog,Intact Male,1.0,German Shepherd Mix,medium,2017-01-23 18:46:00,2015-01-28 00:00:00,Intact Male,1.0,0.0,2017,1
A793925,2019-05-01 18:02:00,Stray,Nursing,Cat,Intact Female,0.019230769230769232,Domestic Shorthair Mix,medium,2019-06-22 16:36:00,2019-04-22 00:00:00,Spayed Female,0.08333333333333333,0.0,2019,5
A809538,2019-11-26 11:26:00,Stray,Normal,Dog,Intact Male,0.16666666666666666,Harrier,Tricolor,2019-12-02 18:39:00,2019-09-11 00:00:00,Neutered Male,0.16666666666666666,0.0,2019,11
A756219,2017-08-15 19:00:00,Stray,Normal,Cat,Intact Male,0.08333333333333333,Domestic Shorthair Mix,dark,2017-08-17 10:31:00,2017-07-08 00:00:00,Intact Male,0.08333333333333333,0.0,2017,8
A716810,2015-11-25 13:13:00,Stray,Normal,Cat,Intact Male,0.25,Domestic Shorthair Mix,dark,2015-11-30 18:56:00,2015-08-25 00:00:00,Intact Male,0.25,0.0,2015,11
A707198,2015-07-09 14:36:00,Stray,Normal,Dog,Intact Male,0.3333333333333333,Australian Shepherd/Dachshund,dark,2015-07-13 18:04:00,2015-02-22 00:00:00,Neutered Male,0.3333333333333333,0.0,2015,7
A501433,2016-10-19 18:53:00,Stray,Normal,Dog,Neutered Male,9.0,Labrador Retriever/Pit Bull,dark,2016-10-20 11:54:00,2007-10-13 00:00:00,Neutered Male,9.0,0.0,2016,10
A773529,2018-06-02 14:24:00,Stray,Normal,Dog,Intact Female,1.0,German Shepherd,dark,2018-06-20 13:20:00,2017-06-02 00:00:00,Spayed Female,1.0,0.0,2018,6
A695719,2015-01-21 11:14:00,Stray,Normal,Cat,Unknown,1.0,Domestic Medium Hair Mix,dark,2015-01-22 09:00:00,2014-01-21 00:00:00,Unknown,1.0,0.0,2015,1
A790618,2019-03-13 12:10:00,Stray,Normal,Cat,Intact Female,0.08333333333333333,Domestic Medium Hair Mix,dark,2019-05-09 10:15:00,2019-01-29 00:00:00,Spayed Female,0.25,0.0,2019,3
A812357,2020-01-21 11:40:00,Public Assist,Normal,Cat,Intact Female,0.6666666666666666,Domestic Shorthair,dark,2020-01-29 14:50:00,2019-05-21 00:00:00,Spayed Female,0.6666666666666666,0.0,2020,1
A676033,2015-04-07 15:43:00,Public Assist,Normal,Dog,Spayed Female,3.0,Chihuahua Shorthair Mix,Tricolor,2015-04-16 11:03:00,2012-04-03 00:00:00,Spayed Female,3.0,0.0,2015,4
A770712,2018-04-24 13:12:00,Stray,Injured,Cat,Intact Male,4.0,Domestic Shorthair Mix,light,2018-08-27 19:46:00,2014-04-25 00:00:00,Neutered Male,4.0,0.0,2018,4
A755585,2017-08-05 13:06:00,Owner Surrender,Normal,Other,Intact Male,0.4166666666666667,Rabbit Sh Mix,light,2017-08-12 15:35:00,2017-02-05 00:00:00,Neutered Male,0.5,0.0,2017,8
A776188,2018-07-10 13:53:00,Owner Surrender,Normal,Cat,Spayed Female,11.0,Domestic Shorthair Mix,dark,2018-07-11 00:00:00,2007-01-10 00:00:00,Spayed Female,11.0,0.0,2018,7
A682323,2014-06-26 14:21:00,Stray,Normal,Cat,Intact Female,0.057692307692307696,Domestic Shorthair Mix,medium,2014-06-26 15:55:00,2014-06-04 00:00:00,Intact Female,0.057692307692307696,0.0,2014,6
A804498,2019-09-15 11:14:00,Stray,Normal,Cat,Spayed Female,2.0,Domestic Shorthair Mix,dark,2019-09-18 15:26:00,2017-09-15 00:00:00,Spayed Female,2.0,0.0,2019,9
A794761,2019-05-11 17:38:00,Stray,Normal,Dog,Intact Female,5.0,Pit Bull Mix,light,2019-07-03 15:51:00,2014-05-11 00:00:00,Intact Female,5.0,0.0,2019,5
A769907,2018-04-12 12:23:00,Stray,Normal,Dog,Intact Female,3.0,Yorkshire Terrier Mix,dark,2018-04-12 19:06:00,2015-04-12 00:00:00,Intact Female,3.0,0.0,2018,4
A697451,2015-05-30 11:40:00,Owner Surrender,Normal,Dog,Spayed Female,3.0,Miniature Schnauzer/Cairn Terrier,dark,2015-06-07 17:59:00,2012-02-24 00:00:00,Spayed Female,3.0,0.0,2015,5
A697421,2015-02-23 16:10:00,Stray,Normal,Dog,Intact Male,0.25,Labrador Retriever/Greyhound,medium,2015-02-27 19:00:00,2014-11-08 00:00:00,Neutered Male,0.25,0.0,2015,2
A758827,2017-09-22 13:59:00,Stray,Normal,Cat,Neutered Male,3.0,Domestic Shorthair Mix,light,2017-12-22 19:01:00,2014-09-22 00:00:00,Neutered Male,3.0,0.0,2017,9
A667328,2013-11-16 12:00:00,Owner Surrender,Normal,Cat,Intact Male,0.3333333333333333,Domestic Shorthair Mix,light,2013-12-01 17:25:00,2013-07-01 00:00:00,Neutered Male,0.4166666666666667,0.0,2013,11
A710780,2015-08-27 14:43:00,Stray,Normal,Dog,Neutered Male,2.0,Catahoula Mix,medium,2015-08-28 16:51:00,2013-08-27 00:00:00,Neutered Male,2.0,0.0,2015,8
A714859,2015-10-29 09:14:00,Stray,Normal,Dog,Intact Male,0.75,Chihuahua Shorthair Mix,dark,2015-11-01 18:04:00,2014-12-29 00:00:00,Neutered Male,0.8333333333333334,0.0,2015,10
A807965,2019-11-02 12:03:00,Stray,Normal,Dog,Intact Male,1.0,Maltese Mix,medium,2019-11-06 16:11:00,2018-11-02 00:00:00,Neutered Male,1.0,0.0,2019,11
A735702,2016-09-27 16:21:00,Stray,Normal,Cat,Intact Male,0.08333333333333333,Domestic Shorthair Mix,medium,2016-09-29 12:43:00,2016-08-13 00:00:00,Intact Male,0.08333333333333333,0.0,2016,9
A673788,2014-03-02 14:35:00,Stray,Normal,Cat,Neutered Male,2.0,Domestic Shorthair Mix,dark,2014-03-03 15:03:00,2012-03-02 00:00:00,Neutered Male,2.0,0.0,2014,3
A796662,2019-06-04 07:37:00,Stray,Nursing,Dog,Intact Male,0.00821917808219178,American Staffordshire Terrier Mix,dark,2019-07-13 06:46:00,2019-06-01 00:00:00,Intact Male,0.08333333333333333,0.0,2019,6
A683230,2014-07-09 12:58:00,Public Assist,Normal,Cat,Intact Male,3.0,Domestic Shorthair Mix,light,2014-07-24 12:49:00,2011-07-09 00:00:00,Neutered Male,3.0,0.0,2014,7
A697278,2015-02-20 17:24:00,Owner Surrender,Normal,Dog,Neutered Male,3.0,Pit Bull Mix,medium,2015-02-25 17:57:00,2011-08-20 00:00:00,Neutered Male,3.0,0.0,2015,2
A733698,2016-08-26 08:09:00,Stray,Injured,Cat,Unknown,0.01643835616438356,Domestic Shorthair Mix,dark,2016-08-26 12:58:00,2016-08-20 00:00:00,Unknown,0.01643835616438356,0.0,2016,8
A703526,2015-05-25 18:29:00,Stray,Normal,Cat,Intact Female,0.08333333333333333,Domestic Shorthair Mix,medium,2015-08-18 11:20:00,2015-04-16 00:00:00,Spayed Female,0.3333333333333333,0.0,2015,5
A733440,2016-08-21 16:49:00,Stray,Normal,Dog,Intact Female,0.25,Labrador Retriever Mix,light,2016-08-25 17:28:00,2016-05-21 00:00:00,Spayed Female,0.25,0.0,2016,8
A693134,2014-12-02 16:15:00,Wildlife,Normal,Other,Unknown,3.0,Bat Mix,dark,2014-12-02 17:17:00,2011-12-02 00:00:00,Unknown,3.0,1.0,2014,12
A615369,2016-10-16 14:09:00,Owner Surrender,Normal,Cat,Spayed Female,5.0,Siamese Mix,medium,2016-11-06 12:55:00,2011-05-06 00:00:00,Spayed Female,5.0,0.0,2016,10
A706471,2015-06-29 12:48:00,Stray,Normal,Dog,Intact Female,1.0,Labrador Retriever Mix,dark,2015-07-13 17:57:00,2014-06-29 00:00:00,Spayed Female,1.0,0.0,2015,6
A775426,2018-06-29 17:05:00,Stray,Normal,Cat,Unknown,0.019230769230769232,Domestic Shorthair Mix,dark,2018-06-29 18:20:00,2018-06-22 00:00:00,Unknown,0.019230769230769232,0.0,2018,6
A766697,2018-02-26 00:29:00,Public Assist,Normal,Dog,Neutered Male,0.6666666666666666,Pit Bull Mix,light,2018-02-27 14:37:00,2017-06-14 00:00:00,Neutered Male,0.6666666666666666,0.0,2018,2
A810720,2019-12-18 15:02:00,Stray,Normal,Dog,Intact Male,0.75,Chihuahua Shorthair/Rat Terrier,medium,2019-12-22 16:21:00,2019-03-18 00:00:00,Neutered Male,0.75,0.0,2019,12
A768468,2018-03-20 09:31:00,Wildlife,Normal,Other,Unknown,2.0,Opossum Mix,dark,2018-03-20 09:46:00,2016-03-20 00:00:00,Unknown,2.0,1.0,2018,3
A674699,2014-03-16 21:14:00,Public Assist,Normal,Dog,Intact Male,0.16666666666666666,Labrador Retriever Mix,light,2014-03-17 11:24:00,2013-12-26 00:00:00,Intact Male,0.16666666666666666,0.0,2014,3
A703260,2015-05-22 13:19:00,Stray,Normal,Dog,Spayed Female,16.0,Chihuahua Shorthair Mix,light,2015-05-23 14:59:00,1999-05-23 00:00:00,Spayed Female,16.0,0.0,2015,5
A806595,2019-10-13 01:06:00,Public Assist,Normal,Dog,Unknown,4.0,Border Collie Mix,light,2019-10-13 17:22:00,2015-10-13 00:00:00,Unknown,4.0,0.0,2019,10
A797005,2019-07-07 11:05:00,Owner Surrender,Sick,Cat,Spayed Female,10.0,Snowshoe Mix,medium,2019-07-10 12:58:00,2009-06-08 00:00:00,Spayed Female,10.0,0.0,2019,7
A777226,2018-07-25 12:57:00,Stray,Normal,Dog,Neutered Male,10.0,Staffordshire Mix,dark,2018-08-08 16:38:00,2008-03-25 00:00:00,Neutered Male,10.0,0.0,2018,7
A695048,2015-01-08 11:08:00,Owner Surrender,Normal,Cat,Intact Female,0.5,Domestic Shorthair Mix,dark,2015-01-13 14:42:00,2014-07-08 00:00:00,Spayed Female,0.5,0.0,2015,1
A742356,2017-01-20 13:39:00,Stray,Normal,Cat,Intact Female,1.0,Domestic Shorthair Mix,dark,2017-01-26 00:00:00,2016-01-20 00:00:00,Spayed Female,1.0,0.0,2017,1
A712942,2016-11-23 09:08:00,Public Assist,Normal,Dog,Neutered Male,3.0,American Bulldog Mix,dark,2016-12-18 12:52:00,2013-09-30 00:00:00,Neutered Male,3.0,0.0,2016,11
A715875,2015-11-11 16:18:00,Stray,Normal,Dog,Intact Male,0.08333333333333333,Labrador Retriever Mix,light,2015-11-17 16:22:00,2015-09-11 00:00:00,Neutered Male,0.16666666666666666,0.0,2015,11
A775814,2018-07-05 11:19:00,Stray,Normal,Dog,Spayed Female,4.0,Shih Tzu Mix,light,2018-07-06 19:13:00,2014-07-06 00:00:00,Spayed Female,4.0,0.0,2018,7
A703986,2015-05-31 12:26:00,Stray,Normal,Dog,Intact Male,1.0,Siberian Husky Mix,light,2015-06-05 17:01:00,2014-05-31 00:00:00,Neutered Male,1.0,0.0,2015,5
A771274,2018-05-02 18:07:00,Stray,Normal,Cat,Intact Female,0.00821917808219178,Domestic Shorthair Mix,dark,2018-05-02 18:23:00,2018-04-29 00:00:00,Intact Female,0.00821917808219178,0.0,2018,5
A752755,2017-06-27 11:16:00,Stray,Injured,Dog,Spayed Female,10.0,Chinese Sharpei,medium,2017-06-27 13:20:00,2007-06-27 00:00:00,Spayed Female,10.0,0.0,2017,6
A769014,2018-03-28 18:08:00,Stray,Normal,Dog,Intact Male,0.08333333333333333,Pit Bull Mix,dark,2018-04-02 19:05:00,2018-01-28 00:00:00,Neutered Male,0.16666666666666666,0.0,2018,3
A807659,2019-10-28 10:12:00,Stray,Injured,Dog,Neutered Male,2.0,Pointer,dark,2019-10-28 18:37:00,2017-10-28 00:00:00,Neutered Male,2.0,0.0,2019,10
A717924,2015-12-17 16:43:00,Stray,Normal,Dog,Intact Female,0.6666666666666666,Catahoula Mix,dark,2015-12-20 18:47:00,2015-04-17 00:00:00,Spayed Female,0.6666666666666666,0.0,2015,12
A689039,2014-10-02 12:25:00,Stray,Normal,Dog,Neutered Male,1.0,Pit Bull Mix,medium,2014-10-09 15:49:00,2013-09-28 00:00:00,Neutered Male,1.0,1.0,2014,10
A802332,2019-09-26 16:40:00,Stray,Injured,Cat,Spayed Female,1.0,Siamese,light,2019-09-27 11:37:00,2018-08-16 00:00:00,Spayed Female,1.0,1.0,2019,9
A761760,2019-12-16 10:39:00,Stray,Normal,Dog,Neutered Male,8.0,Pit Bull Mix,medium,2017-11-09 19:14:00,2011-05-09 00:00:00,Neutered Male,6.0,0.0,2019,12
A704302,2015-06-03 14:29:00,Stray,Normal,Dog,Intact Female,1.0,Chihuahua Shorthair Mix,medium,2015-06-08 18:25:00,2014-06-03 00:00:00,Spayed Female,1.0,0.0,2015,6
A738711,2016-11-19 15:28:00,Stray,Normal,Cat,Intact Female,0.07692307692307693,Domestic Shorthair Mix,medium,2017-02-04 08:31:00,2016-10-18 00:00:00,Spayed Female,0.25,0.0,2016,11
A784997,2018-11-24 16:15:00,Stray,Normal,Cat,Spayed Female,2.0,Domestic Shorthair Mix,dark,2018-11-28 16:49:00,2016-11-24 00:00:00,Spayed Female,2.0,0.0,2018,11
A812383,2020-01-21 15:40:00,Stray,Normal,Dog,Intact Female,1.0,Australian Cattle Dog,medium,2020-01-26 16:56:00,2019-01-21 00:00:00,Spayed Female,1.0,0.0,2020,1
A788071,2019-01-25 17:22:00,Stray,Normal,Dog,Intact Male,2.0,Pit Bull Mix,light,2019-02-08 18:26:00,2017-01-25 00:00:00,Neutered Male,2.0,0.0,2019,1
A686548,2014-08-23 13:32:00,Stray,Normal,Cat,Intact Female,4.0,Domestic Longhair Mix,light,2014-08-24 16:44:00,2010-08-23 00:00:00,Intact Female,4.0,0.0,2014,8
A759345,2017-09-30 16:58:00,Stray,Normal,Cat,Intact Female,0.16666666666666666,Domestic Shorthair Mix,medium,2017-10-18 13:26:00,2017-07-09 00:00:00,Intact Female,0.25,0.0,2017,9
A741173,2016-12-29 18:44:00,Public Assist,Normal,Dog,Intact Male,2.0,Great Dane,light,2017-01-20 16:31:00,2014-12-30 00:00:00,Neutered Male,2.0,0.0,2016,12
A737138,2016-10-22 15:50:00,Stray,Normal,Dog,Intact Male,1.0,Chihuahua Shorthair Mix,dark,2016-10-23 17:55:00,2015-01-27 00:00:00,Intact Male,1.0,0.0,2016,10
A734152,2016-09-02 10:40:00,Owner Surrender,Normal,Cat,Intact Female,0.08333333333333333,Domestic Medium Hair Mix,dark,2016-09-14 00:00:00,2016-07-18 00:00:00,Intact Female,0.08333333333333333,0.0,2016,9
A552877,2016-02-14 15:17:00,Owner Surrender,Normal,Cat,Spayed Female,8.0,Domestic Shorthair Mix,medium,2016-02-21 14:00:00,2007-08-25 00:00:00,Spayed Female,8.0,0.0,2016,2
A808701,2019-11-12 15:04:00,Owner Surrender,Normal,Cat,Spayed Female,2.0,Domestic Longhair,dark,2020-01-14 13:51:00,2017-11-12 00:00:00,Spayed Female,2.0,0.0,2019,11
A769102,2018-03-30 13:27:00,Stray,Normal,Dog,Intact Female,0.08333333333333333,Labrador Retriever Mix,dark,2018-04-03 18:10:00,2018-01-30 00:00:00,Spayed Female,0.16666666666666666,0.0,2018,3
A773104,2018-05-27 17:20:00,Stray,Normal,Dog,Intact Female,0.08333333333333333,Pbgv Mix,light,2018-05-28 16:23:00,2018-04-15 00:00:00,Intact Female,0.08333333333333333,0.0,2018,5
A745399,2017-03-17 11:42:00,Stray,Nursing,Cat,Unknown,0.019230769230769232,Domestic Shorthair Mix,dark,2017-03-17 13:35:00,2017-03-10 00:00:00,Unknown,0.019230769230769232,0.0,2017,3
A809089,2019-11-18 18:38:00,Stray,Normal,Dog,Intact Male,1.0,Chihuahua Longhair/Norfolk Terrier,medium,2019-11-19 12:04:00,2018-11-18 00:00:00,Intact Male,1.0,0.0,2019,11
A732330,2016-08-06 11:04:00,Stray,Normal,Dog,Intact Female,0.08333333333333333,Labrador Retriever Mix,dark,2016-08-12 18:32:00,2016-06-10 00:00:00,Spayed Female,0.16666666666666666,0.0,2016,8
A797822,2019-06-18 11:33:00,Owner Surrender,Normal,Cat,Intact Female,0.08333333333333333,Domestic Shorthair,dark,2019-10-08 10:47:00,2019-04-18 00:00:00,Spayed Female,0.4166666666666667,0.0,2019,6
A665235,2013-10-15 14:08:00,Owner Surrender,Nursing,Dog,Intact Female,0.08333333333333333,Australian Kelpie Mix,Tricolor,2013-10-15 16:10:00,2013-09-08 00:00:00,Intact Female,0.08333333333333333,0.0,2013,10
A728445,2017-07-02 08:43:00,Stray,Normal,Dog,Intact Male,1.0,Pit Bull Mix,dark,2017-09-15 19:20:00,2015-12-16 00:00:00,Neutered Male,1.0,1.0,2017,7
A732158,2016-08-03 13:46:00,Stray,Normal,Dog,Intact Female,1.0,Labrador Retriever Mix,dark,2016-08-11 17:19:00,2015-08-03 00:00:00,Spayed Female,1.0,0.0,2016,8
