AnimalID,DateTime_Intake,IntakeType,IntakeCondition,AnimalType_Intake,SexuponIntake,AgeuponIntake,Breed_Intake,Color_Intake,DateTime_Outcome,DateofBirth,SexuponOutcome,AgeuponOutcome,Result,year,month
A752534,2017-06-23 15:05:00,Wildlife,Sick,Other,Unknown,2.0,Raccoon Mix,dark,2017-06-23 15:44:00,2015-06-23 00:00:00,Unknown,2.0,1.0,2017,6
A727655,2016-05-24 12:57:00,Owner Surrender,Normal,Cat,Intact Female,1.0,Domestic Shorthair Mix,medium,2016-06-07 13:53:00,2015-05-24 00:00:00,Spayed Female,1.0,0.0,2016,5
A684923,2014-07-30 14:04:00,Stray,Normal,Cat,Intact Male,0.3333333333333333,Domestic Shorthair Mix,light,2014-07-31 09:00:00,2014-03-02 00:00:00,Intact Male,0.3333333333333333,0.0,2014,7
A731276,2016-07-19 15:44:00,Stray,Normal,Dog,Intact Male,1.0,Labrador Retriever/Pit Bull,dark,2016-07-25 11:47:00,2015-07-19 00:00:00,Neutered Male,1.0,0.0,2016,7
A762471,2017-11-21 09:42:00,Stray,Normal,Dog,Intact Male,1.0,Cavalier Span/Chihuahua Shorthair,light,2017-11-26 19:09:00,2016-05-21 00:00:00,Neutered Male,1.0,0.0,2017,11
A462580,2015-12-30 10:27:00,Public Assist,Normal,Dog,Neutered Male,11.0,Pit Bull,dark,2014-12-06 15:32:00,2004-10-01 00:00:00,Neutered Male,10.0,0.0,2015,12
A790693,2019-03-14 14:30:00,Owner Surrender,Normal,Dog,Intact Male,0.08333333333333333,Rhod Ridgeback/Great Dane,dark,2019-03-16 17:07:00,2019-01-14 00:00:00,Neutered Male,0.08333333333333333,0.0,2019,3
A713637,2015-10-10 08:56:00,Stray,Injured,Cat,Spayed Female,2.0,Siamese Mix,light,2015-10-11 09:42:00,2013-10-10 00:00:00,Spayed Female,2.0,1.0,2015,10
A796567,2019-06-03 11:17:00,Stray,Normal,Cat,Intact Male,0.16666666666666666,Domestic Shorthair Mix,light,2019-06-09 17:25:00,2019-03-27 00:00:00,Neutered Male,0.16666666666666666,0.0,2019,6
A713230,2015-10-04 13:35:00,Wildlife,Injured,Other,Unknown,0.5,Opossum,dark,2015-10-04 13:57:00,2015-04-04 00:00:00,Unknown,0.5,1.0,2015,10
A680861,2014-06-09 11:40:00,Stray,Normal,Bird,Unknown,0.038461538461538464,Duck,light,2014-06-10 00:00:00,2014-05-25 00:00:00,Unknown,0.038461538461538464,0.0,2014,6
A684513,2014-07-24 17:25:00,Stray,Normal,Cat,Intact Male,0.08333333333333333,Domestic Shorthair Mix,dark,2014-08-19 18:41:00,2014-06-08 00:00:00,Neutered Male,0.16666666666666666,0.0,2014,7
A777185,2018-07-24 15:17:00,Owner Surrender,Normal,Dog,Neutered Male,4.0,Belgian Malinois/Labrador Retriever,dark,2018-07-29 12:41:00,2014-07-24 00:00:00,Neutered Male,4.0,0.0,2018,7
A799879,2019-07-13 11:10:00,Owner Surrender,Normal,Dog,Intact Female,0.08333333333333333,Yorkshire Terrier Mix,dark,2019-07-13 14:34:00,2019-05-13 00:00:00,Intact Female,0.08333333333333333,0.0,2019,7
A561188,2016-01-02 19:45:00,Stray,Normal,Cat,Spayed Female,10.0,Domestic Shorthair Mix,dark,2016-01-06 18:20:00,2005-11-23 00:00:00,Spayed Female,10.0,0.0,2016,1
A771371,2018-05-04 06:41:00,Public Assist,Normal,Cat,Spayed Female,7.0,Siamese Mix,dark,2018-05-07 12:55:00,2011-05-04 00:00:00,Spayed Female,7.0,0.0,2018,5
A718905,2016-01-09 11:26:00,Owner Surrender,Normal,Cat,Intact Female,0.4166666666666667,Domestic Shorthair Mix,medium,2016-01-18 14:34:00,2015-07-21 00:00:00,Spayed Female,0.4166666666666667,0.0,2016,1
A704112,2015-06-01 16:05:00,Stray,Normal,Cat,Intact Female,0.08333333333333333,Domestic Shorthair Mix,dark,2015-06-05 14:25:00,2015-04-16 00:00:00,Intact Female,0.08333333333333333,0.0,2015,6
